run,run_name,orthogonalizer_type,orth_schedule_name,train/tokens,spec/label,spec/matrix_index,spec/sample_slot,spec/candidate_position,spec/candidate_count,spec/rows,spec/cols,spec/semi_orth_side,spec/buffer_post_semi_orth_error,spec/buffer_post_stable_rank,spec/buffer_post_sv_max,spec/buffer_post_sv_min,spec/buffer_post_sv_std,spec/buffer_post_svd_entropy,spec/g_post_semi_orth_error,spec/g_post_stable_rank,spec/g_post_sv_max,spec/g_post_sv_min,spec/g_post_sv_std,spec/g_post_svd_entropy,spec/g_pre_semi_orth_error,spec/g_pre_stable_rank,spec/g_pre_sv_max,spec/g_pre_sv_min,spec/g_pre_sv_std,spec/g_pre_svd_entropy
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.5.mlp.fc2,0,6,35,66,768,3072,rows,0.9739402330237279,8.92105484008789,2.068385601043701,0.0008418413926847279,0.17779335379600525,6.11210823059082,0.7434525292257841,286.2418518066406,0.8811829090118408,0.012458523735404015,0.2208288609981537,6.53324031829834,0.9743983356543104,8.923967361450195,2.085294246673584,0.0008454472990706563,0.17964227497577667,6.109127998352051
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.6.mlp.fc2,0,7,41,66,768,3072,rows,0.984599791199715,6.6389594078063965,2.4099655151367188,0.000870550749823451,0.18257389962673187,6.086908340454102,0.7502701094804398,282.94464111328125,0.8731936812400818,0.01367554347962141,0.21907751262187958,6.531517028808594,0.9857085702530031,6.595478057861328,2.439269781112671,0.0008773109293542802,0.18456706404685974,6.083613395690918
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.7.mlp.fc2,0,8,47,66,768,3072,rows,1.0067291215191199,5.099205017089844,2.9145195484161377,0.0008957444224506617,0.197964146733284,6.053086757659912,0.7534117877824535,282.0164489746094,0.8686456084251404,0.012363793328404427,0.2184937596321106,6.530402183532715,1.0093846852057784,5.0546159744262695,2.954878091812134,0.0009003644227050245,0.200229674577713,6.049422740936279
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.8.mlp.fc2,0,9,53,66,768,3072,rows,1.0049557632890131,5.315898895263672,2.8475377559661865,0.0009267812129110098,0.19835521280765533,6.046257495880127,0.7598393338412693,278.1766662597656,0.8617054224014282,0.01247415691614151,0.21619540452957153,6.529349327087402,1.0081287572005393,5.223904609680176,2.900186538696289,0.0009316451032646,0.20069260895252228,6.042523384094238
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.9.mlp.fc2,0,10,59,66,768,3072,rows,1.0342441860705482,4.4816975593566895,3.2658934593200684,0.0009616825846023858,0.21229110658168793,6.019662857055664,0.7660080271366203,272.47357177734375,0.8588535189628601,0.0130498381331563,0.21552614867687225,6.52640962600708,1.039838392788755,4.404007911682129,3.3281004428863525,0.0009696166962385178,0.21490050852298737,6.015622615814209
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,40108032,blocks.10.mlp.fc2,0,11,65,66,768,3072,rows,1.1213059165227182,3.84928560256958,3.981253147125244,0.001091261743567884,0.24603015184402466,5.960097312927246,0.7800603390948443,263.9159240722656,0.8444899916648865,0.01222962699830532,0.2127750664949417,6.521186351776123,1.1355446768021935,3.7635064125061035,4.072972774505615,0.00109672243706882,0.24939821660518646,5.955424785614014
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,50069504,blocks.0.attn.q_proj,0,0,0,66,768,768,cols,1.935300400689411,4.752192497253418,6.738118648529053,7.795753845130093e-06,0.43934768438339233,6.033763885498047,0.46229530891770226,548.8511352539062,1.0065631866455078,0.0003412459627725184,0.3078029453754425,6.539891242980957,1.9606847649347132,4.714015007019043,6.795544147491455,6.928114999027457e-06,0.44163045287132263,6.032771110534668
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,50069504,blocks.1.attn.q_proj,0,1,6,66,768,768,cols,2.3460625017040693,2.9535179138183594,7.566985130310059,7.106631528586149e-06,0.4394194185733795,5.38066291809082,0.736227501919889,295.1115417480469,1.0037027597427368,0.0001482990919612348,0.37328702211380005,6.322474002838135,2.3887414791131416,2.9221808910369873,7.653467178344727,7.887104402470868e-06,0.4422438442707062,5.378820419311523
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,50069504,blocks.2.attn.q_proj,0,2,12,66,768,768,cols,1.977409089877779,2.700056314468384,6.950075149536133,5.9982077800668776e-05,0.376542866230011,5.611583709716797,0.6658523112028237,367.1535339355469,1.004497766494751,0.0004594002093654126,0.36994192004203796,6.402631759643555,1.9933120511199176,2.692389965057373,6.985752582550049,3.926019780919887e-05,0.3780163526535034,5.610883712768555
runs/manual_f3_s2_0605_1925,manual_f3_s2_0605_1925,manual,manual_f3_s2,50069504,blocks.3.attn.q_proj,0,3,18,66,768,768,cols,4.699617073713832,2.702704906463623,11.21782112121582,5.460556349135004e-05,0.6133841276168823,5.481389999389648,0.7234622959253857,314.9282531738281,1.0070416927337646,0.0001528232969576493,0.3909345865249634,6.3036651611328125,4.792565106371618,2.6767773628234863,11.335798263549805,4.270156205166131e-05,0.6171230673789978,5.480031967163086
