run_name,orth_schedule_name,orthogonalizer_type,seed,lr_mul,train/tokens,spec/label,spec/buffer_post_semi_orth_error,spec/buffer_post_stable_rank,spec/buffer_post_sv_max,spec/buffer_post_sv_min,spec/buffer_post_sv_std,spec/buffer_post_svd_entropy,spec/candidate_count,spec/candidate_position,spec/cols,spec/g_post_semi_orth_error,spec/g_post_stable_rank,spec/g_post_sv_max,spec/g_post_sv_min,spec/g_post_sv_std,spec/g_post_svd_entropy,spec/g_pre_semi_orth_error,spec/g_pre_stable_rank,spec/g_pre_sv_max,spec/g_pre_sv_min,spec/g_pre_sv_std,spec/g_pre_svd_entropy,spec/matrix_index,spec/rows,spec/sample_slot,spec/semi_orth_side
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.2.attn.q_proj,9.908570491682982,2.4746644496917725,16.068716049194336,6.661256065854104e-06,0.8850207328796387,4.667818069458008,66,12,768,0.9509816928946387,57.913299560546875,1.0020387172698975,6.082882464397699e-06,0.24539953470230103,5.445891857147217,10.0623740450681,2.4715065956115723,16.187755584716797,1.573269946675282e-05,0.891120970249176,4.66544246673584,0,768,2,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.3.attn.q_proj,5.108936729576485,2.864108085632324,11.4790678024292,3.5534583730623126e-05,0.6688869595527649,5.043810844421387,66,18,768,0.9306902103132818,80.52356719970703,1.0018688440322876,1.4137633115751669e-05,0.27543362975120544,5.710514068603516,5.157614538908872,2.867269277572632,11.529878616333008,3.8247337215580046e-05,0.6722779870033264,5.042545795440674,0,768,3,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.4.attn.q_proj,1.813290518846827,3.2053444385528564,6.364996910095215,8.323867461967893e-08,0.38835999369621277,5.204832553863525,66,24,768,0.9189417636579607,93.50748443603516,1.0019896030426025,1.6168988850040478e-06,0.2895403206348419,5.802732944488525,1.8183301983873585,3.231478691101074,6.367643356323242,3.03594993056322e-06,0.3901180028915405,5.203431606292725,0,768,4,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.5.attn.q_proj,3.0399307895594903,2.498918294906616,8.78056812286377,9.168892916022742e-07,0.4776016175746918,5.13440465927124,66,30,768,0.9211737751227733,90.4769515991211,1.0026196241378784,1.46255542858853e-05,0.28667086362838745,5.77541446685791,3.026171192518314,2.5204379558563232,8.753817558288574,4.529262696451042e-06,0.47809380292892456,5.134912490844727,0,768,5,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.5.mlp.fc2,0.9867019977424606,8.614486694335938,2.3146047592163086,0.0008430418674834073,0.20837530493736267,5.960618019104004,66,35,3072,0.9326189077316736,109.42906188964844,0.7223471403121948,0.0022864206694066525,0.17724744975566864,6.311033725738525,0.9875504786964603,8.619626998901367,2.331420421600342,0.0008440165547654033,0.2101726233959198,5.9576616287231445,0,768,6,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.6.mlp.fc2,0.9878196552872368,7.303612232208252,2.4280667304992676,0.0008167157066054642,0.20016443729400635,5.982749938964844,66,41,3072,0.9304577177222199,114.52305603027344,0.7168267965316772,0.0024943144526332617,0.17741914093494415,6.324051380157471,0.9885946305907765,7.318151473999023,2.4433395862579346,0.0008191614761017263,0.20184111595153809,5.979909420013428,0,768,7,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.7.mlp.fc2,1.0049892124895032,5.941148281097412,2.829536199569702,0.0009171217679977417,0.21264654397964478,5.9655537605285645,66,47,3072,0.9341224699413652,106.26203155517578,0.7231109738349915,0.002628832822665572,0.17332668602466583,6.319968223571777,1.0059920002490568,5.966069221496582,2.842423915863037,0.0009210588177666068,0.21423794329166412,5.962945461273193,0,768,8,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.8.mlp.fc2,1.0737668941683396,4.463836669921875,3.644463539123535,0.0009736376814544201,0.24215680360794067,5.921243667602539,66,53,3072,0.9382599846258758,104.23236083984375,0.7072465419769287,0.0025203139521181583,0.17135147750377655,6.302042484283447,1.076487773269124,4.4834675788879395,3.661320209503174,0.0009791877819225192,0.24399042129516602,5.918490409851074,0,768,9,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.9.mlp.fc2,1.2235365152696418,3.675090789794922,4.542818069458008,0.0010813227854669094,0.279270201921463,5.8697285652160645,66,59,3072,0.9438583208750072,95.24114227294922,0.7048806548118591,0.0023103272542357445,0.16641809046268463,6.284050464630127,1.2301751491842263,3.6878418922424316,4.567173004150391,0.0010851145489141345,0.28144899010658264,5.866706371307373,0,768,10,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,40108032,blocks.10.mlp.fc2,1.5241483343044278,3.339125633239746,5.591712951660156,0.0013757970882579684,0.3344983756542206,5.78148889541626,66,65,3072,0.952049589591772,86.62246704101562,0.6828140020370483,0.0027308666612952948,0.15976528823375702,6.242478370666504,1.5397184553540337,3.343587636947632,5.63030481338501,0.0013865024084225297,0.3372476100921631,5.77818489074707,0,768,11,rows
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,50069504,blocks.0.attn.q_proj,5.003224592132444,11.019109725952148,8.226157188415527,6.119072395449621e-07,0.8664153218269348,5.838354110717773,66,0,768,0.8637228461663287,138.89146423339844,1.001988410949707,9.566237167746294e-06,0.2806142568588257,6.280011177062988,5.092140550795329,10.794472694396973,8.358743667602539,1.6859685274539515e-05,0.8719677329063416,5.836331844329834,0,768,0,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,50069504,blocks.1.attn.q_proj,2.978221557138987,2.872652530670166,8.472265243530273,1.5213955521176104e-05,0.5000954866409302,4.838047981262207,66,6,768,0.9476881166801105,61.165374755859375,1.0017812252044678,7.2386014835501555e-06,0.24802333116531372,5.573258876800537,3.0352390918248817,2.853097677230835,8.56462287902832,1.4235187336453237e-05,0.5039361715316772,4.834949016571045,0,768,1,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,50069504,blocks.2.attn.q_proj,5.138663846193257,3.1018004417419434,11.487805366516113,6.679981197521556e-06,0.6968041062355042,4.956303119659424,66,12,768,0.9336252744180286,78.50687408447266,1.0027085542678833,1.0898908840317745e-05,0.27715906500816345,5.600175857543945,5.221166368027987,3.079768419265747,11.587769508361816,3.126563569821883e-06,0.7004859447479248,4.95493745803833,0,768,2,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,50069504,blocks.3.attn.q_proj,2.4251231971640737,3.941920757293701,7.687432289123535,1.2289202459214721e-05,0.507901132106781,5.388415336608887,66,18,768,0.9028895198728933,111.41659545898438,1.00264573097229,2.1633662981912494e-05,0.3065072298049927,5.891197681427002,2.4800550434309216,3.878566026687622,7.795835494995117,8.918555977288634e-06,0.5111473798751831,5.386792182922363,0,768,3,cols
followup4090_20260608_primary_spectral_stable5,stable5,vanilla,0,1.0,50069504,blocks.4.attn.q_proj,1.24729329372648,3.3993208408355713,4.722764492034912,8.109726877592038e-06,0.2890462875366211,5.470441818237305,66,24,768,0.8988935792735854,114.48369598388672,1.0021048784255981,4.587153307511471e-05,0.30599474906921387,5.93871545791626,1.2668175782875388,3.321026086807251,4.813706874847412,1.0333730642742012e-05,0.29141321778297424,5.468245506286621,0,768,4,cols
